"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1415","Test CountByQuery and DeleteByQuery","End To End Tests","2026-09-16","passed","2026-09-16","Admin EntityService Tests","Typescript Client","",""
"","67","testValidAudienceWithUserRole()","Structures Core","2026-09-16","passed","2026-09-16","","org.kinotic.structures.tests.auth.AccessControlTest","org.kinotic.structures.tests.auth.AccessControlTest","testValidAudienceWithUserRole"
"","57","structures-api proxies use the connection this project opened","Continuum client contract","2026-09-16","passed","2026-09-16","Client Contract","Typescript Client","",""
"","5536","Test Basic CRUD","End To End Tests","2026-09-16","passed","2026-09-16","Versioned Tests","Typescript Client","",""
"","610","testBulk()","Structures Core","2026-09-16","passed","2026-09-16","","org.kinotic.structures.tests.core.entity.BulkUpdateTests","org.kinotic.structures.tests.core.entity.BulkUpdateTests","testBulk"
"","0","testPolicyEvaluatorWithFailedOperations()","Structures Core","2026-09-16","passed","2026-09-16","","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","org.kinotic.structures.tests.core.security.graphos.PolicyEvaluatorTests","testPolicyEvaluatorWithFailedOperations"
"","16","whenInvalidVersionNumber_thenExceptionThrown()","Structures Core","2026-09-16","passed","2026-09-16","","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","org.kinotic.structures.tests.sql.MigrationExecutorIntegrationTest","whenInvalidVersionNumber_thenExceptionThrown"
"","308","Can bulk save people across multiple tenants and retrieve them selectively","End To End Tests","2026-09-16","passed","2026-09-16","Multitenant Selection Operations","OpenAPI Client","",""
"","10","testClearCaches()","Structures Core","2026-09-16","passed","2026-09-16","","org.kinotic.structures.tests.auth.JwksServiceTest","org.kinotic.structures.tests.auth.JwksServiceTest","testClearCaches"
"","540","Test Offset Based Paging With Iterator Single Page","End To End Tests","2026-09-16","passed","2026-09-16","EntityService Tests","Typescript Client","",""
"","6440","Aggregate Test","End To End Tests","2026-09-16","passed","2026-09-16","Named Query Tests","Typescript Client","",""
"","1353","Test FindByIds","End To End Tests","2026-09-16","passed","2026-09-16","EntityService Tests","Typescript Client","",""
